run_id,scenario,method,repetition,cpu_pct,ram_mb,network_kbps,storage_mb_per_h,integrity_verification_ms,graph_solver_ms,whatif_simulation_ms,end_to_end_orchestration_ms,data_origin
S1_framework_r07,S1,framework,7,41.385,2487.512,2036.91,94.253,12.49,26.002,186.273,275.541,synthetic_reference
S1_framework_r08,S1,framework,8,38.165,2556.364,1864.244,102.257,16.88,30.096,215.129,499.538,synthetic_reference
S1_framework_r09,S1,framework,9,41.514,2358.531,2022.088,99.206,7.422,26.943,115.134,723.513,synthetic_reference
S1_framework_r10,S1,framework,10,39.986,2512.64,1973.995,103.168,26.343,22.685,155.996,528.168,synthetic_reference
S1_framework_r11,S1,framework,11,40.692,2457.939,1883.392,93.552,16.676,18.078,155.583,380.923,synthetic_reference
S1_framework_r12,S1,framework,12,44.264,2442.143,1872.433,107.735,9.9,23.402,210.198,454.814,synthetic_reference
S1_framework_r13,S1,framework,13,40.154,2495.795,1959.036,92.812,9.384,21.485,184.488,552.402,synthetic_reference
S1_framework_r14,S1,framework,14,41.526,2387.138,1945.366,110.206,12.561,17.491,317.078,375.848,synthetic_reference
S1_framework_r15,S1,framework,15,43.627,2718.631,2061.069,98.377,18.305,18.01,130.376,605.547,synthetic_reference
S1_framework_r16,S1,framework,16,42.016,2522.61,1998.696,116.222,11.554,18.104,312.409,596.247,synthetic_reference
S1_framework_r17,S1,framework,17,36.904,2379.011,1837.19,89.523,14.156,21.901,141.558,351.69,synthetic_reference
S1_framework_r18,S1,framework,18,42.351,2376.556,2182.712,107.358,9.909,20.482,169.803,558.876,synthetic_reference
S1_framework_r19,S1,framework,19,41.08,2578.652,1860.153,99.866,10.073,24.043,209.452,440.205,synthetic_reference
S1_framework_r20,S1,framework,20,38.573,2399.639,2068.138,100.191,11.155,29.343,158.542,394.752,synthetic_reference
S2_framework_r01,S2,framework,1,36.322,2584.905,2041.535,118.204,16.161,26.54,415.269,646.997,synthetic_reference
S2_framework_r02,S2,framework,2,42.705,2565.899,2052.006,101.952,9.549,15.437,143.562,198.198,synthetic_reference
S2_framework_r03,S2,framework,3,42.878,2484.745,2097.69,91.621,27.43,18.658,178.786,458.59,synthetic_reference
S2_framework_r04,S2,framework,4,38.989,2380.174,1705.258,102.79,17.395,16.607,163.835,428.587,synthetic_reference
S2_framework_r05,S2,framework,5,38.247,2580.962,2301.746,115.027,10.929,18.471,112.983,341.759,synthetic_reference
S2_framework_r06,S2,framework,6,43.061,2385.893,2074.226,113.922,19.064,21.308,136.937,370.334,synthetic_reference
S2_framework_r07,S2,framework,7,39.165,2682.718,1659.894,113.084,10.525,37.922,171.902,299.168,synthetic_reference
S2_framework_r08,S2,framework,8,40.367,2567.341,1891.031,100.611,17.539,18.632,172.069,374.291,synthetic_reference
S2_framework_r09,S2,framework,9,43.169,2560.966,1932.069,96.392,16.056,17.713,139.4,305.074,synthetic_reference
S2_framework_r10,S2,framework,10,42.534,2415.239,1748.498,99.407,18.052,26.471,165.093,420.767,synthetic_reference
S2_framework_r11,S2,framework,11,45.148,2438.361,1917.434,109.154,22.726,20.07,262.269,428.245,synthetic_reference
S2_framework_r12,S2,framework,12,41.139,2547.926,2021.267,129.972,11.819,16.559,190.162,342.105,synthetic_reference
S2_framework_r13,S2,framework,13,39.274,2410.512,2095.828,96.492,22.196,25.837,106.093,432.985,synthetic_reference
S2_framework_r14,S2,framework,14,38.342,2603.864,2005.059,104.049,19.758,26.407,207.353,351.751,synthetic_reference
S2_framework_r15,S2,framework,15,40.907,2542.065,1877.743,106.441,5.895,17.873,218.678,385.097,synthetic_reference
S2_framework_r16,S2,framework,16,39.418,2566.062,1947.386,74.388,14.68,39.175,180.418,455.743,synthetic_reference
S2_framework_r17,S2,framework,17,39.56,2553.113,1943.049,96.212,14.358,21.126,115.89,488.364,synthetic_reference
S2_framework_r18,S2,framework,18,42.771,2529.687,1895.028,104.241,14.666,19.065,124.085,602.028,synthetic_reference
S2_framework_r19,S2,framework,19,41.982,2446.431,1976.4,102.404,9.599,21.107,199.427,245.836,synthetic_reference
S2_framework_r20,S2,framework,20,36.57,2505.115,1900.613,109.028,17.26,19.163,211.525,246.808,synthetic_reference
S3_framework_r01,S3,framework,1,43.864,2559.865,1903.816,99.906,11.283,43.044,239.686,330.666,synthetic_reference
S3_framework_r02,S3,framework,2,44.442,2468.622,1762.416,112.554,9.638,27.718,208.004,504.237,synthetic_reference
S3_framework_r03,S3,framework,3,39.88,2376.412,1773.732,111.075,20.948,19.275,175.404,242.203,synthetic_reference
S3_framework_r04,S3,framework,4,38.603,2384.348,2086.853,106.694,9.204,18.855,116.193,387.703,synthetic_reference
S3_framework_r05,S3,framework,5,37.783,2505.617,1757.427,101.828,10.871,35.417,149.49,492.104,synthetic_reference
S3_framework_r06,S3,framework,6,36.579,2572.209,1817.683,95.198,21.057,20.267,186.483,425.802,synthetic_reference
S3_framework_r07,S3,framework,7,38.583,2607.384,1787.638,88.967,19.269,19.058,106.901,525.99,synthetic_reference
S3_framework_r08,S3,framework,8,40.046,2280.237,2085.977,97.33,10.874,40.363,216.054,248.135,synthetic_reference
S3_framework_r09,S3,framework,9,43.385,2547.443,1991.364,93.329,9.362,20.832,160.836,353.726,synthetic_reference
S3_framework_r10,S3,framework,10,37.771,2572.867,1836.775,77.836,14.7,18.425,108.766,332.765,synthetic_reference
S3_framework_r11,S3,framework,11,45.359,2540.168,1757.363,116.136,11.101,33.04,164.807,380.016,synthetic_reference
S3_framework_r12,S3,framework,12,42.403,2579.797,1718.643,103.211,20.936,17.777,206.199,318.568,synthetic_reference
S3_framework_r13,S3,framework,13,40.942,2526.867,2185.401,94.65,10.335,24.262,337.093,633.65,synthetic_reference
S3_framework_r14,S3,framework,14,43.339,2534.108,2198.434,83.726,11.209,29.667,224.592,446.504,synthetic_reference
S3_framework_r15,S3,framework,15,43.093,2423.138,1847.672,104.494,12.107,19.504,222.452,428.91,synthetic_reference
S3_framework_r16,S3,framework,16,36.253,2700.681,1962.713,99.181,9.461,23.894,183.808,491.014,synthetic_reference
S3_framework_r17,S3,framework,17,36.286,2477.076,1708.436,91.771,23.634,24.921,80.732,335.399,synthetic_reference
S3_framework_r18,S3,framework,18,42.422,2587.93,2005.812,83.742,12.649,31.886,148.715,377.276,synthetic_reference
S3_framework_r19,S3,framework,19,42.284,2398.295,2046.016,107.353,7.141,24.144,174.183,297.676,synthetic_reference
S3_framework_r20,S3,framework,20,43.395,2474.822,1757.205,93.263,10.854,25.783,267.092,408.208,synthetic_reference
S4_framework_r01,S4,framework,1,39.257,2508.168,2086.015,91.164,8.928,20.166,210.622,290.923,synthetic_reference
S4_framework_r02,S4,framework,2,38.106,2577.508,1868.558,110.471,14.466,23.612,130.148,361.684,synthetic_reference
S4_framework_r03,S4,framework,3,43.294,2595.428,1824.66,100.636,9.471,20.923,169.897,443.811,synthetic_reference
S4_framework_r04,S4,framework,4,38.19,2532.663,1964.045,100.323,10.538,34.122,200.251,268.872,synthetic_reference
S4_framework_r05,S4,framework,5,36.807,2568.094,2054.731,119.967,21.764,36.234,171.159,275.222,synthetic_reference
S4_framework_r06,S4,framework,6,38.665,2536.982,1956.716,93.544,17.736,24.349,67.448,316.161,synthetic_reference
S4_framework_r07,S4,framework,7,41.677,2622.12,1924.542,104.723,17.517,29.476,250.678,381.956,synthetic_reference
S4_framework_r08,S4,framework,8,39.606,2503.976,1773.273,102.862,14.524,13.603,261.195,424.923,synthetic_reference
S4_framework_r09,S4,framework,9,42.643,2408.268,1975.705,105.904,12.222,20.853,202.869,533.403,synthetic_reference
S4_framework_r10,S4,framework,10,43.659,2817.453,2039.337,103.191,16.114,27.333,240.909,596.871,synthetic_reference
S4_framework_r11,S4,framework,11,39.747,2547.647,1898.299,101.745,11.951,16.453,228.131,233.41,synthetic_reference
S4_framework_r12,S4,framework,12,41.72,2654.178,2212.219,107.305,15.173,14.128,181.535,253.058,synthetic_reference
S4_framework_r13,S4,framework,13,40.662,2558.696,1775.826,100.156,8.536,15.74,131.593,440.446,synthetic_reference
S4_framework_r14,S4,framework,14,38.147,2439.419,1827.346,108.138,21.475,27.418,263.586,436.64,synthetic_reference
S4_framework_r15,S4,framework,15,37.708,2406.362,1828.295,118.803,11.077,16.996,182.259,330.447,synthetic_reference
S4_framework_r16,S4,framework,16,42.285,2427.317,1782.757,122.458,15.439,34.929,172.883,381.438,synthetic_reference
S4_framework_r17,S4,framework,17,43.785,2447.7,2016.348,112.285,9.583,23.765,194.176,473.623,synthetic_reference
S4_framework_r18,S4,framework,18,40.037,2476.775,2100.766,103.021,17.147,15.949,201.236,390.8,synthetic_reference
S4_framework_r19,S4,framework,19,40.614,2430.787,1728.9,81.064,10.643,20.8,161.071,272.523,synthetic_reference
S4_framework_r20,S4,framework,20,38.989,2413.836,1954.927,112.204,8.868,24.831,183.514,685.853,synthetic_reference
