run_id,scenario,method,repetition,attack_onset_s,detection_s,containment_s,recovery_s,disruption_onset_s,detection_latency_s,recovery_time_s,availability_floor,nri,recovery_censored,trace_file,data_origin
S2_framework_r13,S2,framework,13,120.0,126.814,157.087,289.0,137.0,6.814,169.0,0.94,0.98209,0,availability_traces/S2_framework_r13.csv,synthetic_reference
S2_framework_r14,S2,framework,14,120.0,128.349,147.641,228.0,132.0,8.349,108.0,0.94,0.98804,0,availability_traces/S2_framework_r14.csv,synthetic_reference
S2_framework_r15,S2,framework,15,120.0,127.108,141.293,199.0,131.0,7.108,79.0,0.94,0.99076,0,availability_traces/S2_framework_r15.csv,synthetic_reference
S2_framework_r16,S2,framework,16,120.0,125.671,138.495,192.0,132.0,5.671,72.0,0.94,0.9916,0,availability_traces/S2_framework_r16.csv,synthetic_reference
S2_framework_r17,S2,framework,17,120.0,127.012,147.308,233.0,135.0,7.012,113.0,0.94,0.98762,0,availability_traces/S2_framework_r17.csv,synthetic_reference
S2_framework_r18,S2,framework,18,120.0,130.881,144.543,196.0,129.0,10.881,76.0,0.94,0.99109,0,availability_traces/S2_framework_r18.csv,synthetic_reference
S2_framework_r19,S2,framework,19,120.0,128.187,144.508,211.0,132.0,8.187,91.0,0.94,0.9897,0,availability_traces/S2_framework_r19.csv,synthetic_reference
S2_framework_r20,S2,framework,20,120.0,125.615,139.631,198.0,131.0,5.615,78.0,0.94,0.99082,0,availability_traces/S2_framework_r20.csv,synthetic_reference
S3_baseline_r01,S3,baseline,1,120.0,127.613,213.201,596.0,123.0,7.613,476.0,0.41657,0.73033,0,availability_traces/S3_baseline_r01.csv,synthetic_reference
S3_baseline_r02,S3,baseline,2,120.0,137.868,221.347,584.0,123.0,17.868,464.0,0.41657,0.73484,0,availability_traces/S3_baseline_r02.csv,synthetic_reference
S3_baseline_r03,S3,baseline,3,120.0,137.227,213.542,544.0,123.0,17.227,424.0,0.41657,0.75736,0,availability_traces/S3_baseline_r03.csv,synthetic_reference
S3_baseline_r04,S3,baseline,4,120.0,135.971,209.819,531.0,123.0,15.971,411.0,0.41657,0.76529,0,availability_traces/S3_baseline_r04.csv,synthetic_reference
S3_baseline_r05,S3,baseline,5,120.0,134.242,254.221,787.0,124.0,14.242,667.0,0.41657,0.63055,0,availability_traces/S3_baseline_r05.csv,synthetic_reference
S3_baseline_r06,S3,baseline,6,120.0,159.442,235.805,545.0,123.0,39.442,425.0,0.41657,0.75323,0,availability_traces/S3_baseline_r06.csv,synthetic_reference
S3_baseline_r07,S3,baseline,7,120.0,132.412,219.019,602.0,123.0,12.412,482.0,0.41657,0.72622,0,availability_traces/S3_baseline_r07.csv,synthetic_reference
S3_baseline_r08,S3,baseline,8,120.0,130.603,211.068,568.0,123.0,10.603,448.0,0.41657,0.74564,0,availability_traces/S3_baseline_r08.csv,synthetic_reference
S3_baseline_r09,S3,baseline,9,120.0,150.745,258.324,718.0,124.0,30.745,598.0,0.41657,0.65808,0,availability_traces/S3_baseline_r09.csv,synthetic_reference
S3_baseline_r10,S3,baseline,10,120.0,130.159,228.419,666.0,123.0,10.159,546.0,0.41657,0.69022,0,availability_traces/S3_baseline_r10.csv,synthetic_reference
S3_baseline_r11,S3,baseline,11,120.0,132.323,205.592,528.0,123.0,12.323,408.0,0.41657,0.76758,0,availability_traces/S3_baseline_r11.csv,synthetic_reference
S3_baseline_r12,S3,baseline,12,120.0,136.651,237.666,682.0,123.0,16.651,562.0,0.41657,0.68054,0,availability_traces/S3_baseline_r12.csv,synthetic_reference
S3_baseline_r13,S3,baseline,13,120.0,150.791,234.589,586.0,123.0,30.791,466.0,0.41657,0.73144,0,availability_traces/S3_baseline_r13.csv,synthetic_reference
S3_baseline_r14,S3,baseline,14,120.0,133.736,214.374,568.0,123.0,13.736,448.0,0.41657,0.7444,0,availability_traces/S3_baseline_r14.csv,synthetic_reference
S3_baseline_r15,S3,baseline,15,120.0,131.544,233.378,686.0,123.0,11.544,566.0,0.41657,0.67862,0,availability_traces/S3_baseline_r15.csv,synthetic_reference
S3_baseline_r16,S3,baseline,16,120.0,144.592,233.67,615.0,123.0,24.592,495.0,0.41657,0.71623,0,availability_traces/S3_baseline_r16.csv,synthetic_reference
S3_baseline_r17,S3,baseline,17,120.0,137.087,257.062,787.0,124.0,17.087,667.0,0.41657,0.6301,0,availability_traces/S3_baseline_r17.csv,synthetic_reference
S3_baseline_r18,S3,baseline,18,120.0,148.838,233.814,593.0,123.0,28.838,473.0,0.41657,0.72814,0,availability_traces/S3_baseline_r18.csv,synthetic_reference
S3_baseline_r19,S3,baseline,19,120.0,143.425,266.04,802.0,124.0,23.425,682.0,0.41657,0.62291,0,availability_traces/S3_baseline_r19.csv,synthetic_reference
S3_baseline_r20,S3,baseline,20,120.0,138.731,230.671,631.0,123.0,18.731,511.0,0.41657,0.70828,0,availability_traces/S3_baseline_r20.csv,synthetic_reference
S3_framework_r01,S3,framework,1,120.0,126.612,158.648,298.0,122.0,6.612,178.0,0.58571,0.92396,0,availability_traces/S3_framework_r01.csv,synthetic_reference
S3_framework_r02,S3,framework,2,120.0,124.458,159.696,316.0,122.0,4.458,196.0,0.58571,0.91685,0,availability_traces/S3_framework_r02.csv,synthetic_reference
S3_framework_r03,S3,framework,3,120.0,126.057,153.356,272.0,122.0,6.057,152.0,0.58571,0.9348,0,availability_traces/S3_framework_r03.csv,synthetic_reference
S3_framework_r04,S3,framework,4,120.0,125.109,151.179,265.0,121.0,5.109,145.0,0.58571,0.93756,0,availability_traces/S3_framework_r04.csv,synthetic_reference
S3_framework_r05,S3,framework,5,120.0,128.833,152.703,253.0,122.0,8.833,133.0,0.58571,0.9425,0,availability_traces/S3_framework_r05.csv,synthetic_reference
S3_framework_r06,S3,framework,6,120.0,124.472,157.798,306.0,122.0,4.472,186.0,0.58571,0.92105,0,availability_traces/S3_framework_r06.csv,synthetic_reference
S3_framework_r07,S3,framework,7,120.0,125.562,159.343,308.0,122.0,5.562,188.0,0.58571,0.9202,0,availability_traces/S3_framework_r07.csv,synthetic_reference
S3_framework_r08,S3,framework,8,120.0,126.068,150.178,254.0,122.0,6.068,134.0,0.58571,0.94223,0,availability_traces/S3_framework_r08.csv,synthetic_reference
S3_framework_r09,S3,framework,9,120.0,124.681,156.654,298.0,122.0,4.681,178.0,0.58571,0.92442,0,availability_traces/S3_framework_r09.csv,synthetic_reference
S3_framework_r10,S3,framework,10,120.0,126.601,149.639,248.0,122.0,6.601,128.0,0.58571,0.94452,0,availability_traces/S3_framework_r10.csv,synthetic_reference
S3_framework_r11,S3,framework,11,120.0,124.718,152.254,273.0,122.0,4.718,153.0,0.58571,0.93457,0,availability_traces/S3_framework_r11.csv,synthetic_reference
S3_framework_r12,S3,framework,12,120.0,125.42,162.697,328.0,122.0,5.42,208.0,0.58571,0.91213,0,availability_traces/S3_framework_r12.csv,synthetic_reference
S3_framework_r13,S3,framework,13,120.0,125.722,154.125,278.0,122.0,5.722,158.0,0.58571,0.93235,0,availability_traces/S3_framework_r13.csv,synthetic_reference
S3_framework_r14,S3,framework,14,120.0,126.918,164.745,331.0,122.0,6.918,211.0,0.58571,0.91052,0,availability_traces/S3_framework_r14.csv,synthetic_reference
S3_framework_r15,S3,framework,15,120.0,125.462,147.484,243.0,121.0,5.462,123.0,0.58571,0.94666,0,availability_traces/S3_framework_r15.csv,synthetic_reference
S3_framework_r16,S3,framework,16,120.0,124.561,157.851,305.0,122.0,4.561,185.0,0.58571,0.92124,0,availability_traces/S3_framework_r16.csv,synthetic_reference
S3_framework_r17,S3,framework,17,120.0,126.228,160.408,310.0,122.0,6.228,190.0,0.58571,0.91916,0,availability_traces/S3_framework_r17.csv,synthetic_reference
S3_framework_r18,S3,framework,18,120.0,126.524,146.295,230.0,121.0,6.524,110.0,0.58571,0.95188,0,availability_traces/S3_framework_r18.csv,synthetic_reference
S3_framework_r19,S3,framework,19,120.0,124.433,155.24,292.0,122.0,4.433,172.0,0.58571,0.92704,0,availability_traces/S3_framework_r19.csv,synthetic_reference
S3_framework_r20,S3,framework,20,120.0,127.561,154.126,268.0,122.0,7.561,148.0,0.58571,0.93635,0,availability_traces/S3_framework_r20.csv,synthetic_reference
S4_baseline_r01,S4,baseline,1,120.0,151.623,221.306,508.0,125.0,31.623,388.0,0.7,0.8758,0,availability_traces/S4_baseline_r01.csv,synthetic_reference
S4_baseline_r02,S4,baseline,2,120.0,143.106,198.852,430.0,124.0,23.106,310.0,0.7,0.90045,0,availability_traces/S4_baseline_r02.csv,synthetic_reference
S4_baseline_r03,S4,baseline,3,120.0,168.667,220.975,411.0,126.0,48.667,291.0,0.7,0.90479,0,availability_traces/S4_baseline_r03.csv,synthetic_reference
S4_baseline_r04,S4,baseline,4,120.0,142.735,191.897,394.0,124.0,22.735,274.0,0.7,0.91174,0,availability_traces/S4_baseline_r04.csv,synthetic_reference
S4_baseline_r05,S4,baseline,5,120.0,145.278,205.081,453.0,125.0,25.278,333.0,0.7,0.89329,0,availability_traces/S4_baseline_r05.csv,synthetic_reference
S4_baseline_r06,S4,baseline,6,120.0,158.147,219.02,459.0,125.0,38.147,339.0,0.7,0.89054,0,availability_traces/S4_baseline_r06.csv,synthetic_reference
S4_baseline_r07,S4,baseline,7,120.0,153.861,197.304,362.0,124.0,33.861,242.0,0.7,0.92081,0,availability_traces/S4_baseline_r07.csv,synthetic_reference
S4_baseline_r08,S4,baseline,8,120.0,160.3,217.452,438.0,126.0,40.3,318.0,0.7,0.89703,0,availability_traces/S4_baseline_r08.csv,synthetic_reference
S4_baseline_r09,S4,baseline,9,120.0,154.557,250.307,652.0,127.0,34.557,532.0,0.7,0.83101,0,availability_traces/S4_baseline_r09.csv,synthetic_reference
S4_baseline_r10,S4,baseline,10,120.0,169.348,238.194,503.0,127.0,49.348,383.0,0.7,0.8761,0,availability_traces/S4_baseline_r10.csv,synthetic_reference
S4_baseline_r11,S4,baseline,11,120.0,156.28,201.612,372.0,125.0,36.28,252.0,0.7,0.9175,0,availability_traces/S4_baseline_r11.csv,synthetic_reference
S4_baseline_r12,S4,baseline,12,120.0,141.54,197.952,434.0,124.0,21.54,314.0,0.7,0.89935,0,availability_traces/S4_baseline_r12.csv,synthetic_reference
S4_baseline_r13,S4,baseline,13,120.0,147.956,203.46,429.0,125.0,27.956,309.0,0.7,0.90053,0,availability_traces/S4_baseline_r13.csv,synthetic_reference
S4_baseline_r14,S4,baseline,14,120.0,159.746,215.023,428.0,125.0,39.746,308.0,0.7,0.90023,0,availability_traces/S4_baseline_r14.csv,synthetic_reference
S4_baseline_r15,S4,baseline,15,120.0,152.679,234.654,576.0,126.0,32.679,456.0,0.7,0.85477,0,availability_traces/S4_baseline_r15.csv,synthetic_reference
S4_baseline_r16,S4,baseline,16,120.0,149.055,200.542,407.0,125.0,29.055,287.0,0.7,0.90738,0,availability_traces/S4_baseline_r16.csv,synthetic_reference
S4_baseline_r17,S4,baseline,17,120.0,146.412,198.399,409.0,124.0,26.412,289.0,0.7,0.90675,0,availability_traces/S4_baseline_r17.csv,synthetic_reference
S4_baseline_r18,S4,baseline,18,120.0,168.92,227.414,445.0,126.0,48.92,325.0,0.7,0.89425,0,availability_traces/S4_baseline_r18.csv,synthetic_reference
S4_baseline_r19,S4,baseline,19,120.0,146.224,201.594,428.0,125.0,26.224,308.0,0.7,0.90096,0,availability_traces/S4_baseline_r19.csv,synthetic_reference
S4_baseline_r20,S4,baseline,20,120.0,149.565,200.183,402.0,124.0,29.565,282.0,0.7,0.90882,0,availability_traces/S4_baseline_r20.csv,synthetic_reference
S4_framework_r01,S4,framework,1,120.0,128.275,154.888,268.0,128.0,8.275,148.0,0.91,0.97978,0,availability_traces/S4_framework_r01.csv,synthetic_reference
S4_framework_r02,S4,framework,2,120.0,132.75,153.994,239.0,127.0,12.75,119.0,0.91,0.9835,0,availability_traces/S4_framework_r02.csv,synthetic_reference
S4_framework_r03,S4,framework,3,120.0,131.661,150.53,225.0,128.0,11.661,105.0,0.91,0.98518,0,availability_traces/S4_framework_r03.csv,synthetic_reference
S4_framework_r04,S4,framework,4,120.0,127.662,145.051,217.0,126.0,7.662,97.0,0.91,0.98613,0,availability_traces/S4_framework_r04.csv,synthetic_reference
S4_framework_r05,S4,framework,5,120.0,127.599,147.285,230.0,127.0,7.599,110.0,0.91,0.98453,0,availability_traces/S4_framework_r05.csv,synthetic_reference
S4_framework_r06,S4,framework,6,120.0,129.194,144.327,205.0,125.0,9.194,85.0,0.91,0.9875,0,availability_traces/S4_framework_r06.csv,synthetic_reference
S4_framework_r07,S4,framework,7,120.0,133.011,149.194,210.0,127.0,13.011,90.0,0.91,0.98697,0,availability_traces/S4_framework_r07.csv,synthetic_reference
S4_framework_r08,S4,framework,8,120.0,135.054,160.156,260.0,128.0,15.054,140.0,0.91,0.98088,0,availability_traces/S4_framework_r08.csv,synthetic_reference
S4_framework_r09,S4,framework,9,120.0,131.976,152.724,236.0,128.0,11.976,116.0,0.91,0.984,0,availability_traces/S4_framework_r09.csv,synthetic_reference
S4_framework_r10,S4,framework,10,120.0,136.739,157.554,236.0,129.0,16.739,116.0,0.91,0.98405,0,availability_traces/S4_framework_r10.csv,synthetic_reference
S4_framework_r11,S4,framework,11,120.0,129.514,148.048,223.0,126.0,9.514,103.0,0.91,0.98535,0,availability_traces/S4_framework_r11.csv,synthetic_reference
S4_framework_r12,S4,framework,12,120.0,130.27,145.426,205.0,126.0,10.27,85.0,0.91,0.98766,0,availability_traces/S4_framework_r12.csv,synthetic_reference
S4_framework_r13,S4,framework,13,120.0,132.947,152.342,228.0,127.0,12.947,108.0,0.91,0.98473,0,availability_traces/S4_framework_r13.csv,synthetic_reference
S4_framework_r14,S4,framework,14,120.0,132.064,153.548,240.0,128.0,12.064,120.0,0.91,0.9833,0,availability_traces/S4_framework_r14.csv,synthetic_reference
S4_framework_r15,S4,framework,15,120.0,131.189,147.92,213.0,127.0,11.189,93.0,0.91,0.98656,0,availability_traces/S4_framework_r15.csv,synthetic_reference
S4_framework_r16,S4,framework,16,120.0,130.556,150.514,231.0,128.0,10.556,111.0,0.91,0.9845,0,availability_traces/S4_framework_r16.csv,synthetic_reference
S4_framework_r17,S4,framework,17,120.0,137.979,159.166,238.0,129.0,17.979,118.0,0.91,0.98392,0,availability_traces/S4_framework_r17.csv,synthetic_reference
S4_framework_r18,S4,framework,18,120.0,131.033,160.304,283.0,130.0,11.033,163.0,0.91,0.97804,0,availability_traces/S4_framework_r18.csv,synthetic_reference
S4_framework_r19,S4,framework,19,120.0,132.584,152.411,231.0,128.0,12.584,111.0,0.91,0.9845,0,availability_traces/S4_framework_r19.csv,synthetic_reference
S4_framework_r20,S4,framework,20,120.0,129.94,140.64,180.0,125.0,9.94,60.0,0.91,0.99073,0,availability_traces/S4_framework_r20.csv,synthetic_reference
