variant,scenario,repetition,detection_latency_s,recovery_time_s,unsafe_action,policy_violation,rollback,recovery_success,orchestration_decision_latency_ms,twin_prediction_error,risk_ranking_correct,data_origin
B0_ids_manual,S2,15,93.978,482.934,0,0,0,1,924.486,,1,synthetic_reference
B0_ids_manual,S2,16,60.088,352.344,0,0,0,1,839.634,,0,synthetic_reference
B0_ids_manual,S2,17,80.027,412.133,0,0,0,1,535.975,,0,synthetic_reference
B0_ids_manual,S2,18,58.616,422.086,0,0,0,1,555.713,,0,synthetic_reference
B0_ids_manual,S2,19,51.474,357.99,0,0,0,1,1016.02,,0,synthetic_reference
B0_ids_manual,S2,20,56.507,357.258,0,0,0,1,1218.563,,0,synthetic_reference
B0_ids_manual,S3,1,11.6,370.544,0,0,0,1,908.778,,1,synthetic_reference
B0_ids_manual,S3,2,8.389,419.725,0,0,0,1,525.272,,1,synthetic_reference
B0_ids_manual,S3,3,30.525,509.421,0,0,0,1,1066.191,,0,synthetic_reference
B0_ids_manual,S3,4,20.483,766.455,0,0,0,0,862.733,,0,synthetic_reference
B0_ids_manual,S3,5,23.982,544.04,0,0,0,1,1210.548,,0,synthetic_reference
B0_ids_manual,S3,6,15.203,472.11,0,0,0,1,1005.202,,1,synthetic_reference
B0_ids_manual,S3,7,22.761,611.746,0,0,0,1,539.001,,1,synthetic_reference
B0_ids_manual,S3,8,22.371,779.342,0,0,0,1,745.077,,0,synthetic_reference
B0_ids_manual,S3,9,26.075,460.47,0,0,0,1,940.527,,1,synthetic_reference
B0_ids_manual,S3,10,11.54,364.548,0,0,0,1,933.54,,0,synthetic_reference
B0_ids_manual,S3,11,12.123,342.192,0,0,0,1,845.262,,1,synthetic_reference
B0_ids_manual,S3,12,22.186,592.967,0,0,0,1,791.887,,0,synthetic_reference
B0_ids_manual,S3,13,16.604,604.303,0,0,0,1,698.423,,1,synthetic_reference
B0_ids_manual,S3,14,19.116,422.337,0,0,0,1,870.443,,1,synthetic_reference
B0_ids_manual,S3,15,11.862,337.453,0,0,0,1,774.182,,1,synthetic_reference
B0_ids_manual,S3,16,20.754,444.637,0,0,0,0,815.936,,0,synthetic_reference
B0_ids_manual,S3,17,14.4,435.874,0,0,0,1,673.337,,1,synthetic_reference
B0_ids_manual,S3,18,23.359,598.167,0,0,0,1,704.879,,0,synthetic_reference
B0_ids_manual,S3,19,29.299,593.497,0,0,0,0,768.831,,1,synthetic_reference
B0_ids_manual,S3,20,11.369,550.173,0,0,0,1,1119.855,,1,synthetic_reference
B0_ids_manual,S4,1,31.802,364.946,0,0,0,0,918.347,,0,synthetic_reference
B0_ids_manual,S4,2,27.596,320.098,0,0,0,1,408.767,,1,synthetic_reference
B0_ids_manual,S4,3,30.154,326.86,0,0,0,1,841.253,,0,synthetic_reference
B0_ids_manual,S4,4,42.487,299.593,0,0,0,1,840.233,,1,synthetic_reference
B0_ids_manual,S4,5,27.827,270.609,0,0,0,1,544.302,,1,synthetic_reference
B0_ids_manual,S4,6,37.882,251.26,0,0,0,1,947.945,,0,synthetic_reference
B0_ids_manual,S4,7,29.742,356.34,0,0,0,1,625.467,,1,synthetic_reference
B0_ids_manual,S4,8,36.896,322.089,0,0,0,1,837.603,,0,synthetic_reference
B0_ids_manual,S4,9,35.628,307.496,0,0,0,1,760.415,,1,synthetic_reference
B0_ids_manual,S4,10,46.351,404.984,0,0,0,1,920.531,,0,synthetic_reference
B0_ids_manual,S4,11,24.922,347.295,0,0,0,1,685.882,,1,synthetic_reference
B0_ids_manual,S4,12,24.514,361.041,0,0,0,0,550.635,,0,synthetic_reference
B0_ids_manual,S4,13,22.409,249.772,0,0,0,0,1147.91,,0,synthetic_reference
B0_ids_manual,S4,14,32.779,301.906,0,0,0,1,438.118,,1,synthetic_reference
B0_ids_manual,S4,15,34.378,386.045,0,0,0,1,678.151,,0,synthetic_reference
B0_ids_manual,S4,16,39.728,571.161,0,0,0,1,793.244,,0,synthetic_reference
B0_ids_manual,S4,17,23.133,305.635,0,0,0,1,873.531,,1,synthetic_reference
B0_ids_manual,S4,18,54.67,282.277,0,0,0,1,763.205,,1,synthetic_reference
B0_ids_manual,S4,19,38.041,234.674,0,0,0,1,682.078,,1,synthetic_reference
B0_ids_manual,S4,20,25.061,275.919,0,0,0,1,1126.105,,1,synthetic_reference
B1_ids_playbook,S1,1,63.504,194.532,0,1,0,1,818.212,,1,synthetic_reference
B1_ids_playbook,S1,2,33.007,196.81,0,0,0,1,769.108,,0,synthetic_reference
B1_ids_playbook,S1,3,38.263,188.945,0,0,0,1,954.681,,0,synthetic_reference
B1_ids_playbook,S1,4,63.866,165.065,0,0,0,1,808.593,,1,synthetic_reference
B1_ids_playbook,S1,5,43.805,249.396,0,0,0,1,938.477,,0,synthetic_reference
B1_ids_playbook,S1,6,47.111,216.237,0,1,0,1,812.385,,0,synthetic_reference
B1_ids_playbook,S1,7,67.318,166.793,0,0,0,1,830.679,,0,synthetic_reference
B1_ids_playbook,S1,8,62.107,247.769,0,0,0,1,972.571,,0,synthetic_reference
B1_ids_playbook,S1,9,56.233,268.807,0,0,0,1,1083.903,,1,synthetic_reference
B1_ids_playbook,S1,10,53.771,182.385,0,0,0,0,646.787,,1,synthetic_reference
B1_ids_playbook,S1,11,41.438,213.512,0,0,0,1,692.59,,1,synthetic_reference
B1_ids_playbook,S1,12,30.161,154.796,0,0,1,1,988.283,,0,synthetic_reference
B1_ids_playbook,S1,13,62.805,215.103,0,0,0,1,596.169,,0,synthetic_reference
B1_ids_playbook,S1,14,51.692,185.39,0,1,0,1,734.706,,1,synthetic_reference
B1_ids_playbook,S1,15,64.549,207.993,0,0,1,1,541.755,,0,synthetic_reference
B1_ids_playbook,S1,16,65.522,262.174,0,0,0,0,986.993,,0,synthetic_reference
B1_ids_playbook,S1,17,42.598,268.101,0,0,0,1,1196.439,,0,synthetic_reference
B1_ids_playbook,S1,18,58.734,275.18,0,0,0,1,901.293,,0,synthetic_reference
B1_ids_playbook,S1,19,46.415,163.789,1,0,1,0,1289.405,,1,synthetic_reference
B1_ids_playbook,S1,20,47.101,158.023,0,0,1,1,810.689,,1,synthetic_reference
B1_ids_playbook,S2,1,89.555,248.303,0,0,1,0,678.157,,1,synthetic_reference
B1_ids_playbook,S2,2,79.594,198.487,0,0,0,1,645.668,,0,synthetic_reference
B1_ids_playbook,S2,3,62.562,168.638,0,0,0,1,535.193,,0,synthetic_reference
B1_ids_playbook,S2,4,54.268,211.231,0,0,0,1,814.731,,1,synthetic_reference
B1_ids_playbook,S2,5,39.166,175.087,0,0,0,1,596.012,,1,synthetic_reference
B1_ids_playbook,S2,6,84.59,114.566,1,0,1,0,878.216,,0,synthetic_reference
B1_ids_playbook,S2,7,40.061,213.847,0,0,0,1,515.567,,1,synthetic_reference
B1_ids_playbook,S2,8,55.072,160.095,0,0,0,1,1034.432,,0,synthetic_reference
B1_ids_playbook,S2,9,50.552,206.896,0,1,0,0,934.045,,0,synthetic_reference
B1_ids_playbook,S2,10,48.687,177.359,0,0,0,1,891.104,,1,synthetic_reference
B1_ids_playbook,S2,11,63.872,124.131,1,0,0,1,818.168,,0,synthetic_reference
B1_ids_playbook,S2,12,104.238,161.524,0,0,0,1,1062.488,,0,synthetic_reference
B1_ids_playbook,S2,13,67.359,186.816,0,0,0,1,665.036,,0,synthetic_reference
B1_ids_playbook,S2,14,78.306,265.417,0,0,0,1,993.517,,1,synthetic_reference
B1_ids_playbook,S2,15,59.057,222.364,0,0,0,1,942.02,,0,synthetic_reference
B1_ids_playbook,S2,16,81.246,184.389,1,0,0,1,703.001,,1,synthetic_reference
B1_ids_playbook,S2,17,70.021,190.907,0,0,0,1,911.171,,1,synthetic_reference
B1_ids_playbook,S2,18,81.893,200.193,0,0,0,1,772.611,,0,synthetic_reference
B1_ids_playbook,S2,19,102.267,201.826,0,0,0,1,847.029,,1,synthetic_reference
B1_ids_playbook,S2,20,55.631,90.323,0,0,0,1,667.504,,1,synthetic_reference
B1_ids_playbook,S3,1,11.152,248.295,0,0,1,1,738.989,,1,synthetic_reference
B1_ids_playbook,S3,2,11.891,219.324,0,0,0,1,1012.4,,1,synthetic_reference
B1_ids_playbook,S3,3,25.492,198.711,1,0,0,0,608.227,,0,synthetic_reference
B1_ids_playbook,S3,4,12.402,206.488,0,0,0,1,688.509,,1,synthetic_reference
B1_ids_playbook,S3,5,22.4,294.738,0,1,0,1,852.461,,1,synthetic_reference
B1_ids_playbook,S3,6,18.418,317.581,0,0,0,1,718.231,,0,synthetic_reference
B1_ids_playbook,S3,7,32.943,271.472,0,0,1,1,569.771,,0,synthetic_reference
B1_ids_playbook,S3,8,13.108,257.604,0,1,0,1,702.016,,1,synthetic_reference
B1_ids_playbook,S3,9,22.176,209.81,0,0,0,1,1036.429,,1,synthetic_reference
B1_ids_playbook,S3,10,26.451,280.101,1,0,0,1,988.313,,1,synthetic_reference
B1_ids_playbook,S3,11,14.228,244.965,0,0,0,1,1059.404,,0,synthetic_reference
B1_ids_playbook,S3,12,20.018,298.106,1,0,0,1,968.025,,0,synthetic_reference
B1_ids_playbook,S3,13,22.039,232.567,0,0,0,1,562.454,,0,synthetic_reference
B1_ids_playbook,S3,14,10.338,298.113,0,0,0,1,951.917,,0,synthetic_reference
B1_ids_playbook,S3,15,22.047,255.693,0,0,0,0,946.641,,0,synthetic_reference
B1_ids_playbook,S3,16,18.288,330.191,0,0,1,1,749.89,,0,synthetic_reference
B1_ids_playbook,S3,17,18.403,338.265,0,0,1,0,1009.266,,1,synthetic_reference
B1_ids_playbook,S3,18,14.665,286.345,0,0,0,1,650.923,,1,synthetic_reference
B1_ids_playbook,S3,19,19.544,252.651,1,0,0,1,479.221,,0,synthetic_reference
B1_ids_playbook,S3,20,17.998,273.38,0,0,0,0,913.065,,1,synthetic_reference
B1_ids_playbook,S4,1,26.353,184.387,1,0,0,1,1036.802,,1,synthetic_reference
B1_ids_playbook,S4,2,42.949,143.775,0,0,1,1,806.321,,0,synthetic_reference
B1_ids_playbook,S4,3,26.221,184.918,0,0,1,1,984.163,,1,synthetic_reference
B1_ids_playbook,S4,4,25.731,164.909,0,0,0,1,603.694,,1,synthetic_reference
B1_ids_playbook,S4,5,50.146,167.358,0,0,0,1,577.229,,0,synthetic_reference
B1_ids_playbook,S4,6,31.252,134.153,0,0,0,1,962.57,,1,synthetic_reference
B1_ids_playbook,S4,7,20.017,165.899,0,0,0,1,704.702,,0,synthetic_reference
B1_ids_playbook,S4,8,31.838,207.544,0,0,0,0,819.929,,1,synthetic_reference
B1_ids_playbook,S4,9,38.636,194.949,0,0,1,1,1055.828,,0,synthetic_reference
B1_ids_playbook,S4,10,28.267,185.366,0,0,0,1,752.728,,0,synthetic_reference
B1_ids_playbook,S4,11,23.891,171.64,0,0,0,1,1213.231,,1,synthetic_reference
B1_ids_playbook,S4,12,18.684,188.23,1,0,0,0,844.309,,1,synthetic_reference
B1_ids_playbook,S4,13,30.012,200.433,1,0,0,0,684.074,,1,synthetic_reference
B1_ids_playbook,S4,14,42.857,181.368,1,0,0,1,913.11,,0,synthetic_reference
B1_ids_playbook,S4,15,39.055,153.984,0,0,1,0,547.3,,0,synthetic_reference
B1_ids_playbook,S4,16,55.73,176.58,0,0,0,1,858.505,,1,synthetic_reference
B1_ids_playbook,S4,17,26.787,179.617,0,0,0,1,939.883,,1,synthetic_reference
B1_ids_playbook,S4,18,37.34,166.974,0,0,0,1,829.068,,1,synthetic_reference
B1_ids_playbook,S4,19,50.692,138.515,0,0,1,0,609.01,,0,synthetic_reference
B1_ids_playbook,S4,20,19.541,110.201,0,0,0,1,729.276,,0,synthetic_reference
B2_stack_no_dt,S1,1,21.295,177.788,0,0,0,1,151.067,,1,synthetic_reference
B2_stack_no_dt,S1,2,23.927,203.929,0,0,0,1,116.484,,1,synthetic_reference
B2_stack_no_dt,S1,3,21.161,191.986,0,1,0,1,113.866,,0,synthetic_reference
B2_stack_no_dt,S1,4,29.799,246.934,0,0,0,1,188.068,,1,synthetic_reference
B2_stack_no_dt,S1,5,28.744,120.944,0,0,0,1,102.617,,1,synthetic_reference
B2_stack_no_dt,S1,6,22.891,149.219,0,0,0,1,127.794,,1,synthetic_reference
B2_stack_no_dt,S1,7,29.602,124.153,0,0,0,1,167.654,,0,synthetic_reference
B2_stack_no_dt,S1,8,22.978,133.505,0,0,0,1,138.113,,1,synthetic_reference
B2_stack_no_dt,S1,9,18.841,174.084,0,0,0,1,222.017,,1,synthetic_reference
B2_stack_no_dt,S1,10,21.611,151.455,0,0,0,1,110.198,,1,synthetic_reference
B2_stack_no_dt,S1,11,18.299,114.45,0,0,0,1,142.993,,1,synthetic_reference
B2_stack_no_dt,S1,12,20.156,141.766,0,0,0,1,126.072,,1,synthetic_reference
B2_stack_no_dt,S1,13,24.315,126.358,0,0,0,1,162.549,,1,synthetic_reference
B2_stack_no_dt,S1,14,17.801,104.76,0,0,0,1,181.088,,1,synthetic_reference
B2_stack_no_dt,S1,15,19.719,97.549,0,0,0,1,144.768,,1,synthetic_reference
B2_stack_no_dt,S1,16,20.945,194.933,0,0,0,1,185.988,,0,synthetic_reference
B2_stack_no_dt,S1,17,17.197,148.266,0,0,0,1,96.338,,1,synthetic_reference
B2_stack_no_dt,S1,18,8.832,181.926,0,0,0,1,176.274,,0,synthetic_reference
B2_stack_no_dt,S1,19,25.452,131.681,0,0,0,1,167.684,,1,synthetic_reference
B2_stack_no_dt,S1,20,23.237,139.515,0,0,0,1,138.518,,1,synthetic_reference
B2_stack_no_dt,S2,1,24.728,145.411,0,0,1,0,216.438,,0,synthetic_reference
B2_stack_no_dt,S2,2,25.983,141.576,0,0,0,1,195.288,,1,synthetic_reference
B2_stack_no_dt,S2,3,25.185,109.986,0,0,0,1,147.083,,0,synthetic_reference
B2_stack_no_dt,S2,4,29.371,99.782,0,0,0,1,164.604,,0,synthetic_reference
B2_stack_no_dt,S2,5,24.269,138.809,0,0,0,1,168.572,,0,synthetic_reference
B2_stack_no_dt,S2,6,17.418,153.563,0,0,1,1,194.662,,1,synthetic_reference
B2_stack_no_dt,S2,7,30.316,153.147,0,0,0,1,163.376,,0,synthetic_reference
B2_stack_no_dt,S2,8,28.592,195.507,0,0,0,1,105.123,,1,synthetic_reference
B2_stack_no_dt,S2,9,34.042,100.026,0,0,0,1,105.642,,0,synthetic_reference
B2_stack_no_dt,S2,10,42.289,118.411,0,0,0,0,181.7,,0,synthetic_reference
B2_stack_no_dt,S2,11,35.073,105.708,0,0,1,1,124.314,,0,synthetic_reference
B2_stack_no_dt,S2,12,23.309,104.535,0,0,0,1,168.81,,1,synthetic_reference
B2_stack_no_dt,S2,13,26.221,140.161,0,0,0,1,122.925,,0,synthetic_reference
B2_stack_no_dt,S2,14,44.528,92.183,0,0,1,1,207.079,,0,synthetic_reference
B2_stack_no_dt,S2,15,29.106,171.927,0,0,1,1,191.324,,1,synthetic_reference
B2_stack_no_dt,S2,16,33.997,90.82,0,0,0,1,173.338,,1,synthetic_reference
B2_stack_no_dt,S2,17,18.581,169.691,0,0,0,0,96.139,,1,synthetic_reference
B2_stack_no_dt,S2,18,29.678,193.674,0,0,0,1,110.228,,1,synthetic_reference
B2_stack_no_dt,S2,19,24.752,146.554,0,0,0,1,203.212,,1,synthetic_reference
B2_stack_no_dt,S2,20,27.121,134.128,0,0,0,1,101.643,,1,synthetic_reference
B2_stack_no_dt,S3,1,5.639,144.254,1,0,0,1,97.433,,1,synthetic_reference
B2_stack_no_dt,S3,2,9.136,183.641,0,0,0,1,136.21,,1,synthetic_reference
B2_stack_no_dt,S3,3,7.899,203.778,0,0,0,1,251.166,,0,synthetic_reference
B2_stack_no_dt,S3,4,5.237,278.13,0,0,0,1,225.651,,1,synthetic_reference
B2_stack_no_dt,S3,5,8.091,213.213,0,0,0,1,126.309,,1,synthetic_reference
B2_stack_no_dt,S3,6,8.632,167.558,0,0,0,1,185.718,,0,synthetic_reference
B2_stack_no_dt,S3,7,8.871,152.073,0,0,0,0,118.555,,1,synthetic_reference
B2_stack_no_dt,S3,8,12.512,202.7,0,0,0,1,134.245,,1,synthetic_reference
B2_stack_no_dt,S3,9,8.949,286.591,0,0,0,1,136.038,,1,synthetic_reference
B2_stack_no_dt,S3,10,3.97,110.56,0,0,0,1,151.964,,0,synthetic_reference
B2_stack_no_dt,S3,11,7.006,113.417,0,0,0,1,147.949,,1,synthetic_reference
B2_stack_no_dt,S3,12,9.2,181.338,1,0,0,1,130.771,,0,synthetic_reference
B2_stack_no_dt,S3,13,4.949,274.413,0,0,0,1,141.709,,0,synthetic_reference
B2_stack_no_dt,S3,14,4.865,172.414,1,0,1,1,152.95,,0,synthetic_reference
B2_stack_no_dt,S3,15,7.262,217.527,0,1,1,1,160.326,,0,synthetic_reference
B2_stack_no_dt,S3,16,7.026,298.322,0,0,0,1,89.436,,0,synthetic_reference
B2_stack_no_dt,S3,17,7.998,163.587,0,0,0,1,156.565,,0,synthetic_reference
B2_stack_no_dt,S3,18,9.206,206.147,0,0,0,1,148.074,,1,synthetic_reference
B2_stack_no_dt,S3,19,11.032,170.267,0,0,0,0,143.231,,0,synthetic_reference
B2_stack_no_dt,S3,20,9.6,143.671,0,0,0,1,183.522,,0,synthetic_reference
B2_stack_no_dt,S4,1,11.029,157.966,0,0,0,0,94.105,,0,synthetic_reference
B2_stack_no_dt,S4,2,21.112,97.809,0,0,0,1,122.064,,1,synthetic_reference
B2_stack_no_dt,S4,3,12.937,89.665,0,0,0,1,163.478,,1,synthetic_reference
B2_stack_no_dt,S4,4,15.877,130.032,0,0,0,1,190.224,,1,synthetic_reference
B2_stack_no_dt,S4,5,13.393,80.424,0,0,0,0,129.188,,1,synthetic_reference
B2_stack_no_dt,S4,6,20.958,115.055,0,0,0,1,126.225,,1,synthetic_reference
B2_stack_no_dt,S4,7,14.723,126.702,1,0,0,1,198.976,,1,synthetic_reference
B2_stack_no_dt,S4,8,12.013,185.393,0,0,0,1,120.651,,0,synthetic_reference
B2_stack_no_dt,S4,9,14.415,93.631,0,0,1,1,113.643,,0,synthetic_reference
B2_stack_no_dt,S4,10,9.312,92.813,0,0,0,1,152.542,,1,synthetic_reference
B2_stack_no_dt,S4,11,10.824,167.838,0,0,0,1,156.682,,1,synthetic_reference
B2_stack_no_dt,S4,12,14.535,86.82,0,0,0,1,104.001,,1,synthetic_reference
B2_stack_no_dt,S4,13,14.131,100.277,0,0,0,1,138.487,,1,synthetic_reference
B2_stack_no_dt,S4,14,12.598,161.896,0,0,0,1,150.023,,0,synthetic_reference
B2_stack_no_dt,S4,15,7.962,88.376,0,0,1,1,156.069,,0,synthetic_reference
B2_stack_no_dt,S4,16,12.168,119.699,0,0,0,1,110.624,,1,synthetic_reference
B2_stack_no_dt,S4,17,12.23,192.355,1,0,0,1,170.849,,0,synthetic_reference
B2_stack_no_dt,S4,18,10.757,148.656,0,0,0,1,123.332,,1,synthetic_reference
B2_stack_no_dt,S4,19,21.515,127.004,0,0,0,1,134.362,,1,synthetic_reference
B2_stack_no_dt,S4,20,17.233,122.789,0,0,1,1,107.895,,0,synthetic_reference
A1_no_graph,S1,1,8.177,96.803,0,0,0,1,106.61,0.0737,0,synthetic_reference
A1_no_graph,S1,2,9.622,169.305,0,0,0,0,95.233,0.0685,1,synthetic_reference
A1_no_graph,S1,3,10.038,84.407,0,0,0,1,109.817,0.1045,0,synthetic_reference
A1_no_graph,S1,4,11.691,119.259,0,0,0,1,259.784,0.0923,0,synthetic_reference
A1_no_graph,S1,5,9.977,152.399,0,0,0,1,155.1,0.0774,1,synthetic_reference
A1_no_graph,S1,6,11.612,107.435,0,0,0,1,140.78,0.0725,1,synthetic_reference
A1_no_graph,S1,7,19.517,127.038,0,1,1,0,138.223,0.0569,0,synthetic_reference
A1_no_graph,S1,8,9.931,123.173,0,0,0,0,135.23,0.1257,0,synthetic_reference
A1_no_graph,S1,9,15.41,99.939,0,0,0,1,175.61,0.0958,0,synthetic_reference
A1_no_graph,S1,10,14.47,209.715,0,0,1,1,121.068,0.0842,1,synthetic_reference
A1_no_graph,S1,11,14.578,122.529,0,0,0,1,143.902,0.0817,1,synthetic_reference
A1_no_graph,S1,12,5.88,143.192,0,0,0,1,138.309,0.0916,0,synthetic_reference
A1_no_graph,S1,13,17.017,135.791,1,0,0,1,192.314,0.0717,1,synthetic_reference
A1_no_graph,S1,14,17.822,225.43,0,0,0,1,134.36,0.085,1,synthetic_reference
A1_no_graph,S1,15,8.735,115.57,0,0,0,1,213.484,0.1239,0,synthetic_reference
A1_no_graph,S1,16,11.611,82.267,0,0,0,1,202.156,0.0858,1,synthetic_reference
A1_no_graph,S1,17,11.661,135.698,0,0,0,1,131.064,0.0966,1,synthetic_reference
A1_no_graph,S1,18,19.861,176.98,0,0,0,1,121.848,0.0942,1,synthetic_reference
A1_no_graph,S1,19,9.833,112.879,0,0,0,1,199.709,0.0854,0,synthetic_reference
A1_no_graph,S1,20,12.157,193.793,0,0,0,1,135.132,0.0485,0,synthetic_reference
A1_no_graph,S2,1,25.4,124.7,1,0,0,1,142.062,0.0932,1,synthetic_reference
A1_no_graph,S2,2,19.802,91.853,0,0,0,1,133.696,0.1105,1,synthetic_reference
A1_no_graph,S2,3,11.931,128.237,0,0,0,1,121.479,0.0805,0,synthetic_reference
A1_no_graph,S2,4,21.234,140.862,0,0,0,1,209.402,0.1047,0,synthetic_reference
A1_no_graph,S2,5,11.995,133.54,0,0,0,1,164.422,0.0997,1,synthetic_reference
A1_no_graph,S2,6,21.914,132.24,0,1,0,1,115.949,0.0827,0,synthetic_reference
A1_no_graph,S2,7,18.034,103.633,0,0,0,0,218.282,0.0963,0,synthetic_reference
A1_no_graph,S2,8,10.852,144.245,0,0,0,1,192.368,0.1384,1,synthetic_reference
A1_no_graph,S2,9,15.597,108.032,0,0,1,1,195.649,0.0848,1,synthetic_reference
A1_no_graph,S2,10,14.678,108.288,0,0,0,1,112.027,0.0722,1,synthetic_reference
A1_no_graph,S2,11,12.32,70.921,0,0,0,1,88.334,0.062,1,synthetic_reference
A1_no_graph,S2,12,16.905,142.225,0,0,0,1,150.128,0.0671,0,synthetic_reference
A1_no_graph,S2,13,23.218,85.078,0,0,0,1,171.236,0.0665,0,synthetic_reference
A1_no_graph,S2,14,10.2,155.437,1,0,0,1,125.79,0.108,1,synthetic_reference
A1_no_graph,S2,15,18.872,115.875,0,1,0,1,121.842,0.0648,0,synthetic_reference
A1_no_graph,S2,16,24.7,152.436,0,0,0,1,157.391,0.0417,1,synthetic_reference
A1_no_graph,S2,17,12.327,112.785,0,0,0,1,133.58,0.0623,0,synthetic_reference
A1_no_graph,S2,18,14.465,127.544,0,0,0,1,150.457,0.0705,1,synthetic_reference
A1_no_graph,S2,19,14.18,88.759,0,0,0,1,146.089,0.0706,1,synthetic_reference
A1_no_graph,S2,20,9.696,154.112,0,0,0,1,188.063,0.0798,0,synthetic_reference
A1_no_graph,S3,1,5.234,139.126,0,0,0,1,171.988,0.0873,0,synthetic_reference
A1_no_graph,S3,2,5.045,162.327,0,0,0,1,113.824,0.0853,0,synthetic_reference
A1_no_graph,S3,3,5.318,175.866,0,0,0,1,143.673,0.0821,0,synthetic_reference
A1_no_graph,S3,4,2.118,148.628,0,0,0,1,108.783,0.0683,0,synthetic_reference
A1_no_graph,S3,5,4.448,154.033,0,0,0,1,113.918,0.0333,1,synthetic_reference
A1_no_graph,S3,6,3.887,223.15,0,0,0,1,157.632,0.0798,0,synthetic_reference
A1_no_graph,S3,7,4.997,177.054,0,0,0,1,118.567,0.0784,1,synthetic_reference
A1_no_graph,S3,8,4.579,159.08,0,0,0,1,134.034,0.0663,1,synthetic_reference
A1_no_graph,S3,9,3.64,196.156,0,0,0,1,148.298,0.0628,0,synthetic_reference
A1_no_graph,S3,10,3.884,211.353,0,0,0,1,204.858,0.0403,1,synthetic_reference
A1_no_graph,S3,11,3.495,183.455,0,0,0,1,146.036,0.0744,1,synthetic_reference
A1_no_graph,S3,12,4.287,155.057,0,0,0,1,117.043,0.0524,0,synthetic_reference
A1_no_graph,S3,13,3.794,187.153,0,0,0,1,105.191,0.0911,0,synthetic_reference
A1_no_graph,S3,14,7.682,133.304,0,0,0,1,156.887,0.108,0,synthetic_reference
A1_no_graph,S3,15,4.258,215.563,0,0,0,1,177.499,0.0616,0,synthetic_reference
A1_no_graph,S3,16,6.298,122.947,0,0,0,1,148.989,0.1116,1,synthetic_reference
A1_no_graph,S3,17,3.474,171.736,0,0,0,1,130.73,0.1361,1,synthetic_reference
