run_id,scenario,method,repetition,t_dis_s,window_start_s,window_end_s,recovery_time_s,nri,stored_recovery_time_s,stored_nri,delta_nri,delta_recovery_s
S1_framework_r07,S1,framework,7,125.0,125.0,725.0,136.0,0.9774770916666667,136.0,0.97748,-2.9083333332735606e-06,0.0
S1_framework_r08,S1,framework,8,125.0,125.0,725.0,115.0,0.9806837333333333,115.0,0.98068,3.7333333332556506e-06,0.0
S1_framework_r09,S1,framework,9,125.0,125.0,725.0,119.0,0.9802310499999999,119.0,0.98023,1.0499999998359044e-06,0.0
S1_framework_r10,S1,framework,10,125.0,125.0,725.0,112.0,0.9811056499999999,112.0,0.98111,-4.3500000000973316e-06,0.0
S1_framework_r11,S1,framework,11,124.0,124.0,724.0,107.0,0.9819292166666665,107.0,0.98193,-7.833333334206216e-07,0.0
S1_framework_r12,S1,framework,12,125.0,125.0,725.0,132.0,0.9780270833333334,132.0,0.97803,-2.916666666519241e-06,0.0
S1_framework_r13,S1,framework,13,125.0,125.0,725.0,93.0,0.9840258249999999,93.0,0.98403,-4.175000000050666e-06,0.0
S1_framework_r14,S1,framework,14,127.0,127.0,727.0,161.0,0.9740516916666665,161.0,0.97405,1.6916666665256486e-06,0.0
S1_framework_r15,S1,framework,15,126.0,126.0,726.0,142.0,0.9766237666666668,142.0,0.97662,3.7666666667934834e-06,0.0
S1_framework_r16,S1,framework,16,125.0,125.0,725.0,102.0,0.9827228166666667,102.0,0.98272,2.8166666666828988e-06,0.0
S1_framework_r17,S1,framework,17,125.0,125.0,725.0,111.0,0.9813898750000001,111.0,0.98139,-1.2499999990644994e-07,0.0
S1_framework_r18,S1,framework,18,125.0,125.0,725.0,106.0,0.9821329916666667,106.0,0.98213,2.9916666667295644e-06,0.0
S1_framework_r19,S1,framework,19,125.0,125.0,725.0,135.0,0.9777055,135.0,0.97771,-4.499999999962867e-06,0.0
S1_framework_r20,S1,framework,20,125.0,125.0,725.0,122.0,0.9795722416666668,122.0,0.97957,2.241666666735753e-06,0.0
S2_baseline_r01,S2,baseline,1,133.0,133.0,733.0,396.0,0.9003545666666666,396.0,0.90035,4.566666666594443e-06,0.0
S2_baseline_r02,S2,baseline,2,132.0,132.0,732.0,457.0,0.8859847333333335,457.0,0.88598,4.733333333506451e-06,0.0
S2_baseline_r03,S2,baseline,3,132.0,132.0,732.0,315.0,0.9191331500000001,315.0,0.91913,3.1500000000628248e-06,0.0
S2_baseline_r04,S2,baseline,4,129.0,129.0,729.0,317.0,0.92025425,317.0,0.92025,4.250000000038945e-06,0.0
S2_baseline_r05,S2,baseline,5,127.0,127.0,727.0,206.0,0.9472018666666666,206.0,0.9472,1.8666666665723142e-06,0.0
S2_baseline_r06,S2,baseline,6,132.0,132.0,732.0,424.0,0.8941431166666667,424.0,0.89414,3.1166666666360143e-06,0.0
S2_baseline_r07,S2,baseline,7,128.0,128.0,728.0,317.0,0.9206461,317.0,0.92065,-3.899999999945614e-06,0.0
S2_baseline_r08,S2,baseline,8,128.0,128.0,728.0,368.0,0.9086511250000001,368.0,0.90865,1.1250000001572502e-06,0.0
S2_baseline_r09,S2,baseline,9,128.0,128.0,728.0,335.0,0.916936175,335.0,0.91694,-3.824999999957335e-06,0.0
S2_baseline_r10,S2,baseline,10,129.0,129.0,729.0,243.0,0.9382841250000001,243.0,0.93828,4.125000000132495e-06,0.0
S2_baseline_r11,S2,baseline,11,129.0,129.0,729.0,368.0,0.90800215,368.0,0.908,2.149999999923047e-06,0.0
S2_baseline_r12,S2,baseline,12,128.0,128.0,728.0,328.0,0.9183985916666666,328.0,0.9184,-1.4083333333969605e-06,0.0
S2_baseline_r13,S2,baseline,13,129.0,129.0,729.0,415.0,0.8973707,415.0,0.89737,6.999999999646178e-07,0.0
S2_baseline_r14,S2,baseline,14,132.0,132.0,732.0,394.0,0.9015185666666667,394.0,0.90152,-1.4333333332450238e-06,0.0
S2_baseline_r15,S2,baseline,15,137.0,137.0,737.0,585.0,0.8543955833333333,585.0,0.8544,-4.416666666728908e-06,0.0
S2_baseline_r16,S2,baseline,16,128.0,128.0,728.0,246.0,0.9374313833333334,246.0,0.93743,1.383333333437875e-06,0.0
S2_baseline_r17,S2,baseline,17,128.0,128.0,728.0,320.0,0.9196196999999999,320.0,0.91962,-3.0000000006413785e-07,0.0
S2_baseline_r18,S2,baseline,18,129.0,129.0,729.0,353.0,0.9121153,353.0,0.91212,-4.7000000000796405e-06,0.0
S2_baseline_r19,S2,baseline,19,132.0,132.0,732.0,424.0,0.8943524333333335,424.0,0.89435,2.433333333495824e-06,0.0
S2_baseline_r20,S2,baseline,20,127.0,127.0,727.0,309.0,0.9230252083333332,309.0,0.92303,-4.791666666781325e-06,0.0
S2_framework_r01,S2,framework,1,132.0,132.0,732.0,95.0,0.9893389416666666,95.0,0.98934,-1.0583333334146516e-06,0.0
S2_framework_r02,S2,framework,2,137.0,137.0,737.0,138.0,0.9852378333333334,138.0,0.98524,-2.166666666636452e-06,0.0
S2_framework_r03,S2,framework,3,131.0,131.0,731.0,79.0,0.9907370083333332,79.0,0.99074,-2.9916666667295644e-06,0.0
S2_framework_r04,S2,framework,4,131.0,131.0,731.0,90.0,0.989588075,90.0,0.98959,-1.92499999995821e-06,0.0
S2_framework_r05,S2,framework,5,131.0,131.0,731.0,91.0,0.9896112166666667,91.0,0.98961,1.216666666747912e-06,0.0
S2_framework_r06,S2,framework,6,131.0,131.0,731.0,75.0,0.9912057666666666,75.0,0.99121,-4.233333333436562e-06,0.0
S2_framework_r07,S2,framework,7,133.0,133.0,733.0,106.0,0.9881585833333334,106.0,0.98816,-1.4166666666426408e-06,0.0
S2_framework_r08,S2,framework,8,131.0,131.0,731.0,79.0,0.9907839916666668,79.0,0.99078,3.99166666675832e-06,0.0
S2_framework_r09,S2,framework,9,132.0,132.0,732.0,81.0,0.990725825,81.0,0.99073,-4.175000000050666e-06,0.0
S2_framework_r10,S2,framework,10,132.0,132.0,732.0,69.0,0.9918859833333332,69.0,0.99189,-4.016666666828428e-06,0.0
S2_framework_r11,S2,framework,11,130.0,130.0,730.0,93.0,0.9893476750000002,93.0,0.98935,-2.324999999747668e-06,0.0
S2_framework_r12,S2,framework,12,133.0,133.0,733.0,137.0,0.9851474250000001,137.0,0.98515,-2.5749999998936346e-06,0.0
S2_framework_r13,S2,framework,13,137.0,137.0,737.0,169.0,0.982094825,169.0,0.98209,4.82499999998609e-06,0.0
S2_framework_r14,S2,framework,14,132.0,132.0,732.0,108.0,0.9880428499999999,108.0,0.98804,2.8499999998876646e-06,0.0
S2_framework_r15,S2,framework,15,131.0,131.0,731.0,79.0,0.9907598499999999,79.0,0.99076,-1.5000000008758008e-07,0.0
S2_framework_r16,S2,framework,16,132.0,132.0,732.0,72.0,0.9915963083333335,72.0,0.9916,-3.69166666658316e-06,0.0
S2_framework_r17,S2,framework,17,135.0,135.0,735.0,113.0,0.9876161083333334,113.0,0.98762,-3.891666666699933e-06,0.0
S2_framework_r18,S2,framework,18,129.0,129.0,729.0,76.0,0.9910947750000001,76.0,0.99109,4.775000000067919e-06,0.0
S2_framework_r19,S2,framework,19,132.0,132.0,732.0,91.0,0.9896988916666667,91.0,0.9897,-1.1083333333328227e-06,0.0
S2_framework_r20,S2,framework,20,131.0,131.0,731.0,78.0,0.9908212666666668,78.0,0.99082,1.2666666667771054e-06,0.0
S3_baseline_r01,S3,baseline,1,123.0,123.0,723.0,476.0,0.7303281916666666,476.0,0.73033,-1.8083333334084628e-06,0.0
S3_baseline_r02,S3,baseline,2,123.0,123.0,723.0,464.0,0.7348381749999999,464.0,0.73484,-1.825000000121868e-06,0.0
S3_baseline_r03,S3,baseline,3,123.0,123.0,723.0,424.0,0.7573647916666666,424.0,0.75736,4.79166666655928e-06,0.0
S3_baseline_r04,S3,baseline,4,123.0,123.0,723.0,411.0,0.7652929,411.0,0.76529,2.9000000000278803e-06,0.0
S3_baseline_r05,S3,baseline,5,124.0,124.0,724.0,667.0,0.6305470750000001,667.0,0.63055,-2.924999999986966e-06,0.0
S3_baseline_r06,S3,baseline,6,123.0,123.0,723.0,425.0,0.7532263416666666,425.0,0.75323,-3.658333333378394e-06,0.0
S3_baseline_r07,S3,baseline,7,123.0,123.0,723.0,482.0,0.7262247166666667,482.0,0.72622,4.716666666682023e-06,0.0
S3_baseline_r08,S3,baseline,8,123.0,123.0,723.0,448.0,0.7456439666666668,448.0,0.74564,3.9666666667992345e-06,0.0
S3_baseline_r09,S3,baseline,9,124.0,124.0,724.0,598.0,0.6580770416666667,598.0,0.65808,-2.958333333302754e-06,0.0
S3_baseline_r10,S3,baseline,10,123.0,123.0,723.0,546.0,0.6902165833333334,546.0,0.69022,-3.41666666658913e-06,0.0
S3_baseline_r11,S3,baseline,11,123.0,123.0,723.0,408.0,0.7675827749999999,408.0,0.76758,2.7749999998993857e-06,0.0
S3_baseline_r12,S3,baseline,12,123.0,123.0,723.0,562.0,0.680537225,562.0,0.68054,-2.775000000010408e-06,0.0
S3_baseline_r13,S3,baseline,13,123.0,123.0,723.0,466.0,0.7314386249999999,466.0,0.73144,-1.3750000000811724e-06,0.0
S3_baseline_r14,S3,baseline,14,123.0,123.0,723.0,448.0,0.744402075,448.0,0.7444,2.0750000000457902e-06,0.0
S3_baseline_r15,S3,baseline,15,123.0,123.0,723.0,566.0,0.6786222583333333,566.0,0.67862,2.258333333338136e-06,0.0
S3_baseline_r16,S3,baseline,16,123.0,123.0,723.0,495.0,0.7162320333333333,495.0,0.71623,2.033333333262277e-06,0.0
S3_baseline_r17,S3,baseline,17,124.0,124.0,724.0,667.0,0.63009605,667.0,0.6301,-3.949999999974807e-06,0.0
S3_baseline_r18,S3,baseline,18,123.0,123.0,723.0,473.0,0.7281398333333334,473.0,0.72814,-1.666666665789407e-07,0.0
S3_baseline_r19,S3,baseline,19,124.0,124.0,724.0,682.0,0.6229108166666667,682.0,0.62291,8.166666667364098e-07,0.0
S3_baseline_r20,S3,baseline,20,123.0,123.0,723.0,511.0,0.7082785166666665,511.0,0.70828,-1.4833333334962617e-06,0.0
S3_framework_r01,S3,framework,1,122.0,122.0,722.0,178.0,0.9239617749999999,178.0,0.92396,1.77499999987063e-06,0.0
S3_framework_r02,S3,framework,2,122.0,122.0,722.0,196.0,0.9168494749999998,196.0,0.91685,-5.250000002510191e-07,0.0
S3_framework_r03,S3,framework,3,122.0,122.0,722.0,152.0,0.9347974749999999,152.0,0.9348,-2.525000000086486e-06,0.0
S3_framework_r04,S3,framework,4,121.0,121.0,721.0,145.0,0.9375585166666667,145.0,0.93756,-1.4833333332742171e-06,0.0
S3_framework_r05,S3,framework,5,122.0,122.0,722.0,133.0,0.94249925,133.0,0.9425,-7.499999999938112e-07,0.0
S3_framework_r06,S3,framework,6,122.0,122.0,722.0,186.0,0.9210539083333333,186.0,0.92105,3.908333333302316e-06,0.0
S3_framework_r07,S3,framework,7,122.0,122.0,722.0,188.0,0.9201989500000002,188.0,0.9202,-1.0499999998359044e-06,0.0
S3_framework_r08,S3,framework,8,122.0,122.0,722.0,134.0,0.9422339083333334,134.0,0.94223,3.9083333334133386e-06,0.0
S3_framework_r09,S3,framework,9,122.0,122.0,722.0,178.0,0.9244233333333334,178.0,0.92442,3.3333333333551707e-06,0.0
S3_framework_r10,S3,framework,10,122.0,122.0,722.0,128.0,0.9445239250000002,128.0,0.94452,3.925000000126744e-06,0.0
S3_framework_r11,S3,framework,11,122.0,122.0,722.0,153.0,0.9345749416666667,153.0,0.93457,4.94166666664686e-06,0.0
S3_framework_r12,S3,framework,12,122.0,122.0,722.0,208.0,0.912130625,208.0,0.91213,6.249999999763389e-07,0.0
S3_framework_r13,S3,framework,13,122.0,122.0,722.0,158.0,0.932353925,158.0,0.93235,3.9250000000157215e-06,0.0
S3_framework_r14,S3,framework,14,122.0,122.0,722.0,211.0,0.91052415,211.0,0.91052,4.149999999980558e-06,0.0
S3_framework_r15,S3,framework,15,121.0,121.0,721.0,123.0,0.9466553166666665,123.0,0.94666,-4.6833333334772576e-06,0.0
S3_framework_r16,S3,framework,16,122.0,122.0,722.0,185.0,0.9212425166666666,185.0,0.92124,2.516666666618761e-06,0.0
S3_framework_r17,S3,framework,17,122.0,122.0,722.0,190.0,0.9191646416666667,190.0,0.91916,4.6416666666937445e-06,0.0
S3_framework_r18,S3,framework,18,121.0,121.0,721.0,110.0,0.9518754666666667,110.0,0.95188,-4.533333333278655e-06,0.0
S3_framework_r19,S3,framework,19,122.0,122.0,722.0,172.0,0.9270384416666669,172.0,0.92704,-1.5583333330404514e-06,0.0
S3_framework_r20,S3,framework,20,122.0,122.0,722.0,148.0,0.936354775,148.0,0.93635,4.774999999956897e-06,0.0
S4_baseline_r01,S4,baseline,1,125.0,125.0,725.0,388.0,0.8758017166666667,388.0,0.8758,1.7166666667067787e-06,0.0
S4_baseline_r02,S4,baseline,2,124.0,124.0,724.0,310.0,0.9004470583333334,310.0,0.90045,-2.9416666665893487e-06,0.0
S4_baseline_r03,S4,baseline,3,126.0,126.0,726.0,291.0,0.9047883333333334,291.0,0.90479,-1.666666666566563e-06,0.0
S4_baseline_r04,S4,baseline,4,124.0,124.0,724.0,274.0,0.9117355083333333,274.0,0.91174,-4.491666666717187e-06,0.0
S4_baseline_r05,S4,baseline,5,125.0,125.0,725.0,333.0,0.8932925166666666,333.0,0.89329,2.516666666618761e-06,0.0
S4_baseline_r06,S4,baseline,6,125.0,125.0,725.0,339.0,0.8905417999999999,339.0,0.89054,1.7999999999407379e-06,0.0
S4_baseline_r07,S4,baseline,7,124.0,124.0,724.0,242.0,0.9208067,242.0,0.92081,-3.3000000000393825e-06,0.0
S4_baseline_r08,S4,baseline,8,126.0,126.0,726.0,318.0,0.8970335666666667,318.0,0.89703,3.56666666667671e-06,0.0
S4_baseline_r09,S4,baseline,9,127.0,127.0,727.0,532.0,0.8310074333333333,532.0,0.83101,-2.5666666667589766e-06,0.0
S4_baseline_r10,S4,baseline,10,127.0,127.0,727.0,383.0,0.8760973333333334,383.0,0.8761,-2.6666666665953187e-06,0.0
S4_baseline_r11,S4,baseline,11,125.0,125.0,725.0,252.0,0.917504425,252.0,0.9175,4.424999999974588e-06,0.0
S4_baseline_r12,S4,baseline,12,124.0,124.0,724.0,314.0,0.8993518333333332,314.0,0.89935,1.833333333256526e-06,0.0
S4_baseline_r13,S4,baseline,13,125.0,125.0,725.0,309.0,0.9005336249999999,309.0,0.90053,3.6249999998405613e-06,0.0
S4_baseline_r14,S4,baseline,14,125.0,125.0,725.0,308.0,0.9002311083333332,308.0,0.90023,1.1083333332218004e-06,0.0
S4_baseline_r15,S4,baseline,15,126.0,126.0,726.0,456.0,0.8547651166666667,456.0,0.85477,-4.883333333371986e-06,0.0
S4_baseline_r16,S4,baseline,16,125.0,125.0,725.0,287.0,0.9073808499999999,287.0,0.90738,8.499999999411756e-07,0.0
S4_baseline_r17,S4,baseline,17,124.0,124.0,724.0,289.0,0.906751275,289.0,0.90675,1.2750000000227857e-06,0.0
S4_baseline_r18,S4,baseline,18,126.0,126.0,726.0,325.0,0.8942456750000001,325.0,0.89425,-4.3249999999162014e-06,0.0
S4_baseline_r19,S4,baseline,19,125.0,125.0,725.0,308.0,0.9009644583333333,308.0,0.90096,4.458333333290376e-06,0.0
S4_baseline_r20,S4,baseline,20,124.0,124.0,724.0,282.0,0.9088186500000001,282.0,0.90882,-1.3499999999000423e-06,0.0
S4_framework_r01,S4,framework,1,128.0,128.0,728.0,148.0,0.9797773583333332,148.0,0.97978,-2.6416666667472555e-06,0.0
S4_framework_r02,S4,framework,2,127.0,127.0,727.0,119.0,0.983496625,119.0,0.9835,-3.3750000000276614e-06,0.0
S4_framework_r03,S4,framework,3,128.0,128.0,728.0,105.0,0.9851838833333333,105.0,0.98518,3.883333333343231e-06,0.0
S4_framework_r04,S4,framework,4,126.0,126.0,726.0,97.0,0.9861296916666666,97.0,0.98613,-3.0833333330981816e-07,0.0
S4_framework_r05,S4,framework,5,127.0,127.0,727.0,110.0,0.9845317583333334,110.0,0.98453,1.7583333333792694e-06,0.0
S4_framework_r06,S4,framework,6,125.0,125.0,725.0,85.0,0.987495425,85.0,0.9875,-4.575000000062168e-06,0.0
S4_framework_r07,S4,framework,7,127.0,127.0,727.0,90.0,0.9869744166666667,90.0,0.98697,4.416666666728908e-06,0.0
S4_framework_r08,S4,framework,8,128.0,128.0,728.0,140.0,0.9808822583333332,140.0,0.98088,2.258333333227114e-06,0.0
S4_framework_r09,S4,framework,9,128.0,128.0,728.0,116.0,0.9840026499999999,116.0,0.984,2.6499999998819135e-06,0.0
S4_framework_r10,S4,framework,10,129.0,129.0,729.0,116.0,0.9840512916666667,116.0,0.98405,1.291666666736191e-06,0.0
S4_framework_r11,S4,framework,11,126.0,126.0,726.0,103.0,0.985353775,103.0,0.98535,3.7750000000391637e-06,0.0
S4_framework_r12,S4,framework,12,126.0,126.0,726.0,85.0,0.9876621416666668,85.0,0.98766,2.141666666788389e-06,0.0
S4_framework_r13,S4,framework,13,127.0,127.0,727.0,108.0,0.9847325583333334,108.0,0.98473,2.558333333402274e-06,0.0
S4_framework_r14,S4,framework,14,128.0,128.0,728.0,120.0,0.9832970416666668,120.0,0.9833,-2.9583333331917316e-06,0.0
S4_framework_r15,S4,framework,15,127.0,127.0,727.0,93.0,0.986563625,93.0,0.98656,3.625000000062606e-06,0.0
S4_framework_r16,S4,framework,16,128.0,128.0,728.0,111.0,0.9844980000000002,111.0,0.9845,-1.9999999998354667e-06,0.0
S4_framework_r17,S4,framework,17,129.0,129.0,729.0,118.0,0.9839222000000001,118.0,0.98392,2.2000000000632625e-06,0.0
S4_framework_r18,S4,framework,18,130.0,130.0,730.0,163.0,0.9780419083333334,163.0,0.97804,1.9083333333558272e-06,0.0
S4_framework_r19,S4,framework,19,128.0,128.0,728.0,111.0,0.9845010166666667,111.0,0.9845,1.0166666666311386e-06,0.0
S4_framework_r20,S4,framework,20,125.0,125.0,725.0,60.0,0.9907270999999999,60.0,0.99073,-2.9000000001389026e-06,0.0
